㐀	⿱⿰↔⺊⺊一
㐁	⿱一⿻人口
㐂	⿱〾⿻乚一⿰〾⿻乚一〾⿻乚一
㐃	〾⿱𠆢⿱一丨
㐄	⿻⿱一𠃋丨
㐅	㐅
㐆	⿸⿸⿱㇒丿𫜹𠃌
㐇	⿱九乙
㐈	⿱入乙
㐉	⿱丁乙
㐊	⿱士乙
㐋	⿱土乙
㐌	⿱𠂉⿻乜丨
㐍	⿱爫乙
㐎	⿱文乙
㐏	⿱⿱一𫝀乙
㐐	⿱⿰女又乙
㐑	⿱⿱夂⺀乙
㐒	⿱⿱刀口乙
㐓	⿱⿹丁口乙
㐔	⿳亠口乙
㐕	⿱由乙
㐖	⿰⿱士口乚
㐗	⿱⿱⿻土㇒匕乙
㐘	⿱米乙
㐙	⿱豆乙
㐚	⿱⿱⿱一𫝀口乙
㐛	⿱⿰亻⿸⿻一丿口乙
㐜	⿰⿺⿻一⿰冫⿰亅丶九
㐝	⿱⿰扌⿹勹口乙
㐞	⿱⿱八乙
㐟	⿱非乙
㐠	⿱⿰⿱爫子乚乙
㐡	⿺九⿱⿱一⿱㇒⿵冂⿰丨丨大
㐢	⿱⿰氵⿱爫子乙
㐣	⿸⿸广車乙
㐤	⿺九⿱十⿱八
㐥	⿱⿰釒⿰且力乙
㐦	⿱⿱⿳⿴𦥑一八手乙
㐧	⿻⿹⿻乛亅㇒丶
㐨	⿰⿱⿱乛丶⿱乛亅⿱⿱乛丶⿱乛亅
㐩	⿰⿻二⿰丿丨⿻二⿰丿丨
㐪	⿱亠⿻凵人
㐫	⿱亠⿶凵㐅
㐬	⿱亠⿱厶⿲丿丨乚
㐭	⿱亠⿴囗口
㐮	⿳⿱亠八⿱⿻⿱一一⿰丨丨一𧘇
㐯	⿳亠⿱口口⿱禾日
㐰	⿰亻口
㐱	⿱𠆢彡
㐲	⿰亻大
㐳	⿰亻⿱一儿
㐴	⿰亻夕
㐵	⿰亻⿱一⿻一亅
㐶	⿰亻巳
